MaxAir,MinAir,Precip,Count,MinAirQ,S1,S2
15.9,3,0,1,9,1,0
7.9,-0.7,0,1,0.49,1,0
4.5,-3.6,0,1,12.96,1,0
10.9,-4.2,0,1,17.64,1,0
14.6,1.9,0,0,3.61,1,0
15.5,1,0.3,0,1,1,0
12.7,1.7,0.3,0,2.89,1,0
5.4,0,0.1,0,0,1,0
15.9,3,0,1,9,1,1
7.9,-0.7,0,1,0.49,1,1
4.5,-3.6,0,1,12.96,1,1
10.9,-4.2,0,1,17.64,1,1
14.6,1.9,0,1,3.61,1,1
15.5,1,0.3,1,1,1,1
12.7,1.7,0.3,1,2.89,1,1
5.4,0,0.1,1,0,1,1
16.5,5,0.1,0,25,0,1
9.3,0.6,0,0,0.36,0,1
6.1,-3.2,0,0,10.24,0,1
12.1,-4,0,0,16,0,1
16.6,2.9,0,0,8.41,0,1
16.3,2.1,0.3,0,4.41,0,1
13.4,3.4,0.5,0,11.56,0,1
6.7,0.6,0.2,0,0.36,0,1
16.5,5,0.1,0,25,1,1
9.3,0.6,0,0,0.36,1,1
6.1,-3.2,0,0,10.24,1,1
12.1,-4,0,0,16,1,1
16.6,2.9,0,0,8.41,1,1
16.3,2.1,0.3,0,4.41,1,1
13.4,3.4,0.5,0,11.56,1,1
6.7,0.6,0.2,0,0.36,1,1
16.5,5,0.1,0,25,1,0
9.3,0.6,0,0,0.36,1,0
6.1,-3.2,0,0,10.24,1,0
12.1,-4,0,0,16,1,0
16.6,2.9,0,0,8.41,1,0
16.3,2.1,0.3,0,4.41,1,0
13.4,3.4,0.5,0,11.56,1,0
6.7,0.6,0.2,0,0.36,1,0
11.1,3.9,1.4,0,15.21,0,1
11.7,2.8,0,0,7.84,0,1
13.9,0.6,0,0,0.36,0,1
15.6,1.1,0,0,1.21,0,1
11.7,1.2,0.3,0,1.44,0,1
10.8,1.2,0,0,1.44,0,1
9.5,-0.5,0,0,0.25,0,1
10.2,1.5,0,0,2.25,0,1
11.1,3.9,1.4,0,15.21,0,1
11.7,2.8,0,0,7.84,0,1
13.9,0.6,0,0,0.36,0,1
15.6,1.1,0,0,1.21,0,1
12.7,-0.1,0.5,1,0.01,0,1
11.1,2.3,0,1,5.29,0,1
9.8,-0.3,0,1,0.09,0,1
9.8,2.3,0,1,5.29,0,1
16.5,5,0.1,0,25,0,1
9.3,0.6,0,0,0.36,0,1
6.1,-3.2,0,0,10.24,0,1
12.1,-4,0,0,16,0,1
16.6,2.9,0,0,8.41,0,1
16.3,2.1,0.3,0,4.41,0,1
13.4,3.4,0.5,0,11.56,0,1
6.7,0.6,0.2,0,0.36,0,1
21.7,7.8,0,0,60.84,0,1
12.2,5.6,0,0,31.36,0,1
9.4,-2.8,0,0,7.84,0,1
7.8,-3.3,0,0,10.89,0,1
20.1,3.1,0,0,9.61,0,1
17.1,6.8,0.9,0,46.24,0,1
8.2,1.4,0,0,1.96,0,1
6.6,-2.6,0,0,6.76,0,1
11.1,3.9,1.4,0,15.21,1,1
11.7,2.8,0,0,7.84,1,1
13.9,0.6,0,0,0.36,1,1
15.6,1.1,0,0,1.21,1,1
15.6,-1.1,0,0,1.21,1,1
16.1,-1.1,0.2,0,1.21,1,1
15.6,-1.7,0,0,2.89,1,1
11.1,-2.2,0,0,4.84,1,1
11.1,3.9,1.4,2,15.21,1,0
11.7,2.8,0,2,7.84,1,0
13.9,0.6,0,2,0.36,1,0
15.6,1.1,0,2,1.21,1,0
15.6,-1.1,0,0,1.21,1,0
16.1,-1.1,0.2,0,1.21,1,0
15.6,-1.7,0,0,2.89,1,0
11.1,-2.2,0,0,4.84,1,0
11.1,3.9,1.4,0,15.21,1,1
11.7,2.8,0,0,7.84,1,1
13.9,0.6,0,0,0.36,1,1
15.6,1.1,0,0,1.21,1,1
15.6,-1.1,0,6,1.21,1,1
16.1,-1.1,0.2,6,1.21,1,1
15.6,-1.7,0,6,2.89,1,1
11.1,-2.2,0,6,4.84,1,1
11.1,3.9,1.4,0,15.21,0,1
11.7,2.8,0,0,7.84,0,1
13.9,0.6,0,0,0.36,0,1
15.6,1.1,0,0,1.21,0,1
15.6,-1.1,0,3,1.21,0,1
16.1,-1.1,0.2,3,1.21,0,1
15.6,-1.7,0,3,2.89,0,1
11.1,-2.2,0,3,4.84,0,1
11.1,3.9,1.4,0,15.21,0,1
11.7,2.8,0,0,7.84,0,1
13.9,0.6,0,0,0.36,0,1
15.6,1.1,0,0,1.21,0,1
15.6,-1.1,0,0,1.21,0,1
16.1,-1.1,0.2,0,1.21,0,1
15.6,-1.7,0,0,2.89,0,1
11.1,-2.2,0,0,4.84,0,1
11.1,3.9,1.4,3,15.21,1,0
11.7,2.8,0,3,7.84,1,0
13.9,0.6,0,3,0.36,1,0
15.6,1.1,0,3,1.21,1,0
15.6,-1.1,0,0,1.21,1,0
16.1,-1.1,0.2,0,1.21,1,0
15.6,-1.7,0,0,2.89,1,0
11.1,-2.2,0,0,4.84,1,0
21.7,7.8,0,0,60.84,0,1
12.2,5.6,0,0,31.36,0,1
9.4,-2.8,0,0,7.84,0,1
7.8,-3.3,0,0,10.89,0,1
20.1,3.1,0,0,9.61,0,1
17.1,6.8,0.9,0,46.24,0,1
8.2,1.4,0,0,1.96,0,1
6.6,-2.6,0,0,6.76,0,1
21.7,7.8,0,0,60.84,0,1
12.2,5.6,0,0,31.36,0,1
9.4,-2.8,0,0,7.84,0,1
7.8,-3.3,0,0,10.89,0,1
20.1,3.1,0,0,9.61,0,1
17.1,6.8,0.9,0,46.24,0,1
8.2,1.4,0,0,1.96,0,1
6.6,-2.6,0,0,6.76,0,1
15.3,3.4,0,0,11.56,0,1
10.9,-0.2,0,0,0.04,0,1
10.6,-2.1,0,0,4.41,0,1
18.2,5.5,2.1,0,30.25,0,1
14.9,4.8,0,0,23.04,0,1
19.4,6.7,0.6,0,44.89,0,1
7,-0.6,0.8,0,0.36,0,1
6,-2,0,0,4,0,1
21.7,7.8,0,0,60.84,1,0
12.2,5.6,0,0,31.36,1,0
9.4,-2.8,0,0,7.84,1,0
7.8,-3.3,0,0,10.89,1,0
21.1,1.1,0,0,1.21,1,0
21.7,12.2,0,0,148.84,1,0
23.9,11.7,0.3,0,136.89,1,0
22.2,9.4,0,0,88.36,1,0
21.7,7.8,0,5,60.84,1,1
12.2,5.6,0,5,31.36,1,1
9.4,-2.8,0,5,7.84,1,1
7.8,-3.3,0,5,10.89,1,1
21.1,1.1,0,0,1.21,1,1
21.7,12.2,0,0,148.84,1,1
23.9,11.7,0.3,0,136.89,1,1
22.2,9.4,0,0,88.36,1,1
4.4,-0.6,0,0,0.36,1,1
6.7,-2.2,0,0,4.84,1,1
12.8,-3.9,0,0,15.21,1,1
10,-2.2,0,0,4.84,1,1
3.9,-4.4,0,1,19.36,1,1
3.9,-5,0,1,25,1,1
7.8,-5,0,1,25,1,1
10,-3.3,0,1,10.89,1,1
15.3,3.4,0,0,11.56,0,1
10.9,-0.2,0,0,0.04,0,1
10.6,-2.1,0,0,4.41,0,1
18.2,5.5,2.1,0,30.25,0,1
14.9,4.8,0,1,23.04,0,1
19.4,6.7,0.6,1,44.89,0,1
7,-0.6,0.8,1,0.36,0,1
6,-2,0,1,4,0,1
15.3,3.4,0,3,11.56,1,1
10.9,-0.2,0,3,0.04,1,1
10.6,-2.1,0,3,4.41,1,1
18.2,5.5,2.1,3,30.25,1,1
14.9,4.8,0,1,23.04,1,1
19.4,6.7,0.6,1,44.89,1,1
7,-0.6,0.8,1,0.36,1,1
6,-2,0,1,4,1,1
15.3,3.4,0,0,11.56,0,1
10.9,-0.2,0,0,0.04,0,1
10.6,-2.1,0,0,4.41,0,1
18.2,5.5,2.1,0,30.25,0,1
14.9,4.8,0,0,23.04,0,1
19.4,6.7,0.6,0,44.89,0,1
7,-0.6,0.8,0,0.36,0,1
6,-2,0,0,4,0,1
15.3,3.4,0,0,11.56,0,1
10.9,-0.2,0,0,0.04,0,1
10.6,-2.1,0,0,4.41,0,1
18.2,5.5,2.1,0,30.25,0,1
14.9,4.8,0,0,23.04,0,1
19.4,6.7,0.6,0,44.89,0,1
7,-0.6,0.8,0,0.36,0,1
6,-2,0,0,4,0,1
15.3,3.4,0,0,11.56,1,0
10.9,-0.2,0,0,0.04,1,0
10.6,-2.1,0,0,4.41,1,0
18.2,5.5,2.1,0,30.25,1,0
14.9,4.8,0,0,23.04,1,0
19.4,6.7,0.6,0,44.89,1,0
7,-0.6,0.8,0,0.36,1,0
6,-2,0,0,4,1,0
15.3,3.4,0,0,11.56,1,0
10.9,-0.2,0,0,0.04,1,0
10.6,-2.1,0,0,4.41,1,0
18.2,5.5,2.1,0,30.25,1,0
14.9,4.8,0,0,23.04,1,0
19.4,6.7,0.6,0,44.89,1,0
7,-0.6,0.8,0,0.36,1,0
6,-2,0,0,4,1,0
15.3,3.4,0,0,11.56,0,1
10.9,-0.2,0,0,0.04,0,1
10.6,-2.1,0,0,4.41,0,1
18.2,5.5,2.1,0,30.25,0,1
14.9,4.8,0,0,23.04,0,1
19.4,6.7,0.6,0,44.89,0,1
7,-0.6,0.8,0,0.36,0,1
6,-2,0,0,4,0,1
15.3,3.4,0,0,11.56,1,0
10.9,-0.2,0,0,0.04,1,0
10.6,-2.1,0,0,4.41,1,0
18.2,5.5,2.1,0,30.25,1,0
14.9,4.8,0,0,23.04,1,0
19.4,6.7,0.6,0,44.89,1,0
7,-0.6,0.8,0,0.36,1,0
6,-2,0,0,4,1,0
15.3,3.4,0,0,11.56,1,0
10.9,-0.2,0,0,0.04,1,0
10.6,-2.1,0,0,4.41,1,0
18.2,5.5,2.1,0,30.25,1,0
14.9,4.8,0,0,23.04,1,0
19.4,6.7,0.6,0,44.89,1,0
7,-0.6,0.8,0,0.36,1,0
6,-2,0,0,4,1,0
4.4,-0.6,0,0,0.36,0,1
6.7,-2.2,0,0,4.84,0,1
12.8,-3.9,0,0,15.21,0,1
10,-2.2,0,0,4.84,0,1
3.9,-4.4,0,0,19.36,0,1
3.9,-5,0,0,25,0,1
7.8,-5,0,0,25,0,1
10,-3.3,0,0,10.89,0,1
4.4,-0.6,0,0,0.36,0,1
6.7,-2.2,0,0,4.84,0,1
12.8,-3.9,0,0,15.21,0,1
10,-2.2,0,0,4.84,0,1
3.9,-4.4,0,0,19.36,0,1
3.9,-5,0,0,25,0,1
7.8,-5,0,0,25,0,1
10,-3.3,0,0,10.89,0,1
21.7,7.8,0,0,60.84,0,1
12.2,5.6,0,0,31.36,0,1
9.4,-2.8,0,0,7.84,0,1
7.8,-3.3,0,0,10.89,0,1
21.1,1.1,0,0,1.21,0,1
21.7,12.2,0,0,148.84,0,1
23.9,11.7,0.3,0,136.89,0,1
22.2,9.4,0,0,88.36,0,1
15,0.6,0,8,0.36,1,0
18.9,2.8,0,8,7.84,1,0
23.9,2.8,0,8,7.84,1,0
25,7.2,0,8,51.84,1,0
21.1,16.7,3.7,0,278.89,1,0
21.7,13.9,0.8,0,193.21,1,0
19.4,12.8,0,0,163.84,1,0
18.9,8.3,0,0,68.89,1,0
8.9,-1.1,0,0,1.21,0,1
15.6,-0.6,0.5,0,0.36,0,1
7.2,-5,0,0,25,0,1
2.8,-7.8,0,0,60.84,0,1
21.1,16.7,3.7,4,278.89,0,1
21.7,13.9,0.8,4,193.21,0,1
19.4,12.8,0,4,163.84,0,1
18.9,8.3,0,4,68.89,0,1
8.9,-1.1,0,5,1.21,1,1
15.6,-0.6,0.5,5,0.36,1,1
7.2,-5,0,5,25,1,1
2.8,-7.8,0,5,60.84,1,1
21.1,16.7,3.7,4,278.89,1,1
21.7,13.9,0.8,4,193.21,1,1
19.4,12.8,0,4,163.84,1,1
18.9,8.3,0,4,68.89,1,1
8.9,-1.1,0,3,1.21,1,0
15.6,-0.6,0.5,3,0.36,1,0
7.2,-5,0,3,25,1,0
2.8,-7.8,0,3,60.84,1,0
21.1,16.7,3.7,0,278.89,1,0
21.7,13.9,0.8,0,193.21,1,0
19.4,12.8,0,0,163.84,1,0
18.9,8.3,0,0,68.89,1,0
8.9,-1.1,0,11,1.21,1,0
15.6,-0.6,0.5,11,0.36,1,0
7.2,-5,0,11,25,1,0
2.8,-7.8,0,11,60.84,1,0
21.1,16.7,3.7,0,278.89,1,0
21.7,13.9,0.8,0,193.21,1,0
19.4,12.8,0,0,163.84,1,0
18.9,8.3,0,0,68.89,1,0
21.7,7.8,0,7,60.84,1,1
12.2,5.6,0,7,31.36,1,1
9.4,-2.8,0,7,7.84,1,1
7.8,-3.3,0,7,10.89,1,1
21.1,1.1,0,1,1.21,1,1
21.7,12.2,0,1,148.84,1,1
23.9,11.7,0.3,1,136.89,1,1
22.2,9.4,0,1,88.36,1,1
21.7,7.8,0,2,60.84,1,0
12.2,5.6,0,2,31.36,1,0
9.4,-2.8,0,2,7.84,1,0
7.8,-3.3,0,2,10.89,1,0
21.1,1.1,0,0,1.21,1,0
21.7,12.2,0,0,148.84,1,0
23.9,11.7,0.3,0,136.89,1,0
22.2,9.4,0,0,88.36,1,0
21.7,7.8,0,1,60.84,1,1
12.2,5.6,0,1,31.36,1,1
9.4,-2.8,0,1,7.84,1,1
7.8,-3.3,0,1,10.89,1,1
21.1,1.1,0,1,1.21,1,1
21.7,12.2,0,1,148.84,1,1
23.9,11.7,0.3,1,136.89,1,1
22.2,9.4,0,1,88.36,1,1
8.9,-1.1,0,0,1.21,0,1
15.6,-0.6,0.5,0,0.36,0,1
7.2,-5,0,0,25,0,1
2.8,-7.8,0,0,60.84,0,1
21.1,16.7,3.7,0,278.89,0,1
21.7,13.9,0.8,0,193.21,0,1
19.4,12.8,0,0,163.84,0,1
18.9,8.3,0,0,68.89,0,1
8.9,-1.1,0,0,1.21,0,1
15.6,-0.6,0.5,0,0.36,0,1
7.2,-5,0,0,25,0,1
2.8,-7.8,0,0,60.84,0,1
21.1,16.7,3.7,7,278.89,0,1
21.7,13.9,0.8,7,193.21,0,1
19.4,12.8,0,7,163.84,0,1
18.9,8.3,0,7,68.89,0,1
8.9,-1.1,0,0,1.21,0,1
15.6,-0.6,0.5,0,0.36,0,1
7.2,-5,0,0,25,0,1
2.8,-7.8,0,0,60.84,0,1
21.1,16.7,3.7,5,278.89,0,1
21.7,13.9,0.8,5,193.21,0,1
19.4,12.8,0,5,163.84,0,1
18.9,8.3,0,5,68.89,0,1
8.9,-1.1,0,0,1.21,1,1
15.6,-0.6,0.5,0,0.36,1,1
7.2,-5,0,0,25,1,1
2.8,-7.8,0,0,60.84,1,1
21.1,16.7,3.7,4,278.89,1,1
21.7,13.9,0.8,4,193.21,1,1
19.4,12.8,0,4,163.84,1,1
18.9,8.3,0,4,68.89,1,1
4.4,-0.6,0,10,0.36,1,0
6.7,-2.2,0,10,4.84,1,0
12.8,-3.9,0,10,15.21,1,0
10,-2.2,0,10,4.84,1,0
3.9,-4.4,0,0,19.36,1,0
3.9,-5,0,0,25,1,0
7.8,-5,0,0,25,1,0
10,-3.3,0,0,10.89,1,0
4.4,-0.6,0,5,0.36,1,0
6.7,-2.2,0,5,4.84,1,0
12.8,-3.9,0,5,15.21,1,0
10,-2.2,0,5,4.84,1,0
3.9,-4.4,0,0,19.36,1,0
3.9,-5,0,0,25,1,0
7.8,-5,0,0,25,1,0
10,-3.3,0,0,10.89,1,0
4.4,-0.6,0,0,0.36,1,0
6.7,-2.2,0,0,4.84,1,0
12.8,-3.9,0,0,15.21,1,0
10,-2.2,0,0,4.84,1,0
3.9,-4.4,0,0,19.36,1,0
3.9,-5,0,0,25,1,0
7.8,-5,0,0,25,1,0
10,-3.3,0,0,10.89,1,0
4.4,-0.6,0,0,0.36,0,1
6.7,-2.2,0,0,4.84,0,1
12.8,-3.9,0,0,15.21,0,1
10,-2.2,0,0,4.84,0,1
3.9,-4.4,0,0,19.36,0,1
3.9,-5,0,0,25,0,1
7.8,-5,0,0,25,0,1
10,-3.3,0,0,10.89,0,1
4.4,-0.6,0,1,0.36,1,0
6.7,-2.2,0,1,4.84,1,0
12.8,-3.9,0,1,15.21,1,0
10,-2.2,0,1,4.84,1,0
3.9,-4.4,0,0,19.36,1,0
3.9,-5,0,0,25,1,0
7.8,-5,0,0,25,1,0
10,-3.3,0,0,10.89,1,0
8.9,-1.1,0,0,1.21,1,1
15.6,-0.6,0.5,0,0.36,1,1
7.2,-5,0,0,25,1,1
2.8,-7.8,0,0,60.84,1,1
3.9,-4.4,0,0,19.36,1,1
3.9,-5,0,0,25,1,1
7.8,-5,0,0,25,1,1
10,-3.3,0,0,10.89,1,1
8.9,-1.1,0,2,1.21,1,0
15.6,-0.6,0.5,2,0.36,1,0
7.2,-5,0,2,25,1,0
2.8,-7.8,0,2,60.84,1,0
3.9,-4.4,0,0,19.36,1,0
3.9,-5,0,0,25,1,0
7.8,-5,0,0,25,1,0
10,-3.3,0,0,10.89,1,0
13,3.6,0,0,12.96,1,0
20.8,5.9,0,0,34.81,1,0
15.1,3,0,0,9,1,0
5.1,-1.6,0,0,2.56,1,0
23.7,9,0,0,81,1,0
22,12.9,0,0,166.41,1,0
20.6,15.6,0.1,0,243.36,1,0
24.5,16.2,5.5,0,262.44,1,0
13,3.6,0,0,12.96,0,1
20.8,5.9,0,0,34.81,0,1
15.1,3,0,0,9,0,1
5.1,-1.6,0,0,2.56,0,1
23.7,9,0,6,81,0,1
22,12.9,0,6,166.41,0,1
20.6,15.6,0.1,6,243.36,0,1
24.5,16.2,5.5,6,262.44,0,1
15.5,5.1,0,0,26.01,0,1
18.2,2.2,0,0,4.84,0,1
18.5,7,0,0,49,0,1
14.4,6.5,0,0,42.25,0,1
20.8,1.8,0,0,3.24,0,1
19.7,13.5,0.1,0,182.25,0,1
16.5,9.1,0,0,82.81,0,1
12,6.1,1.3,0,37.21,0,1
15.5,5.1,0,0,26.01,0,1
18.2,2.2,0,0,4.84,0,1
18.5,7,0,0,49,0,1
14.4,6.5,0,0,42.25,0,1
20.8,1.8,0,0,3.24,0,1
19.7,13.5,0.1,0,182.25,0,1
16.5,9.1,0,0,82.81,0,1
12,6.1,1.3,0,37.21,0,1
-1.1,-7.8,0,4,60.84,1,1
3.3,-8.3,0,4,68.89,1,1
17.8,-3.3,0,4,10.89,1,1
19.4,3.9,2.2,4,15.21,1,1
20,1.1,0,2,1.21,1,1
24.4,16.7,0.1,2,278.89,1,1
18.3,11.7,0.1,2,136.89,1,1
