R_Sites,DA,DA_dams,HAiFLSu,HAiFLSd,HAiFLSf,HAiFLSg,HAiFLSc,HAiFLSw,Count,benthic,UpDamBin,DownDamBin,UpWWTPBin,UpLandfillBin,CSA,NPDES_Scaled,Strahler,%50m unbuff,Incision,Bank Erosion,Stage,Substrate,WeightedTSS,AnnualTSS,Phosphorus,Nitrogen,weightedphos,weightednitro,LULC Sum
1,141.29,141.287472,0.64216,3.86592,86.10318,5.32659,1.15727,0.83437,1,6,10,2,10,10,17.5,0.056621134,7,4.87,1,1.5,3,0,52.18460266,7373.16251,20634.23,123369.1,146.0416873,873.1622903,97.28733
2,145.37,145.36584,0.45104,2.62055,90.51944,3.65349,0.79849,0.5536,2,6,10,2,10,10,19,0.055031987,7,4.76,2,2,3,1,52.5414523,7637.950921,21286.71,124874.4,146.4312444,859.0108,98.14557
3,99.89,35.33,7.48117,13.36026,74.0212,10.45604,0.18389,0.00007,0,6,2,2,2,10,8.5,0.060066073,6,8.99,1,1,2,0,37.08440197,3704.360913,10771.30561,75357.27625,107.8316709,754.4026054,98.02146
4,120.91,47.416787,6.53708,11.65181,77.67762,8.84983,0.13744,0.00005,0,5,3,1,3,10,17,0.057894302,6,7.36,2,2.5,3,0,40.98218977,4955.156565,12937.22265,89609.87822,106.9987813,741.1287588,98.31675
5,125.2,51.522416,7.83262,12.65569,77.33739,8.20882,0.12627,0.00005,0,5,3,1,3,10,13.5,0.055910543,6,7.01,1,0.5,2,0,41.26372284,5166.218099,13463.60621,93247.13804,107.5367908,744.7854476,98.32822
6,20.85,6.93,56.05096,58.01831,35.13177,1.03497,0.00213,5.60592,0,4,1,1,10,10,21.5,0.095923261,5,58.36,2,3.5,3,2,35.24033851,734.7610579,2664.895079,22360.0775,127.8127136,1072.425779,99.7931
7,63.63,36.61,11.62953,14.29191,59.41097,4.89049,1.17215,16.52199,1,4,2,5,2,10,14.5,0.204306145,6,9.05,1,1.5,1,0,20.90270915,1330.039383,11962.73448,97292.60721,188.004628,1529.036731,96.28751
8,104.47,7.02,12.77429,21.78785,55.19989,3.67162,0,19.08332,0,5,1,5,10,10,20.5,0.009572126,6,10.73,2,3,3,3,33.89376784,3540.881926,12055.99103,74182.99044,115.4014648,710.0889292,99.74268
9,1029.48,99.08,41.33937,44.332,36.34041,4.03206,0.35683,11.38429,0,6,3,10,3,10,28,0.12530598,8,26.38,3,4,5,3,15.17684542,15624.25882,66560.33698,752518.4107,64.65432741,730.9694318,96.44559
10,17.38,5.163216,2.31136,16.34976,64.02911,3.51585,0.06638,15.59842,0,4,1,10,1,10,17,0.115074799,4,6.98,1,2,1,2,0.373606177,6.493275356,31.03362368,6.511799423,1.785593998,0.374672004,99.55952
11,117.14,37.441857,8.1809,10.04377,62.50517,4.35356,0.25663,21.40668,2,6,4,10,10,10,14.5,0.102441523,6,4.43,0,0.5,1,0,13.67935388,1602.399514,9795.138096,84957.79624,83.61907202,725.2671695,98.56581
12,114.04,71.965383,8.69218,11.28767,56.42709,5.77644,1.95044,19.72956,7,4,5,10,5,10,13.5,0.122763942,6,6.21,1,1,2,2,20.51596585,2339.640746,17638.53381,131768.6874,154.6697108,1155.460254,95.1712
13,88.95,22.81,9.51973,11.46711,61.9105,3.59488,0.14999,21.07325,3,5,2,10,10,10,8.5,0.089938168,6,5.71,0,0,1,2,11.64593095,1035.905558,6094.144494,64688.85902,68.51202354,727.2496799,98.19573
14,1140.86,181.37,37.54459,39.89914,41.28391,3.40052,0.6599,11.45883,0,7,5,10,1,2,32.5,0.132356293,8,23.58,4,2,4,3,16.30373474,18600.27881,153975.7997,1053675.311,134.9646755,923.5798527,96.7023
15,129.7,87.187378,7.28118,9.79613,55.24631,5.79565,3.17386,21.91805,3,5,7,10,6,1,13,0.115651503,6,5.42,0,0,1,2,20.11952323,2609.502163,19808.03316,143750.1197,152.721921,1108.327831,95.93
16,45.9,30.85,59.96239,61.43225,28.11542,0.8418,0.00935,8.53849,0,5,2,10,10,10,24.5,0.392156863,6,41.45,3,4,4,2,31.82201336,1460.630413,5736.349225,49131.32367,124.9749287,1070.399208,98.93731
17,858.63,62.59,30.03398,32.716,45.25126,5.19812,0.47931,12.37005,0,6,2,10,2,10,27,0.083854512,8,17.41,3,2,5,2,7.425665656,6375.899302,33789.53999,560926.5435,39.35285279,653.2808585,96.01474
18,366.09,259.26,1.06454,2.41996,75.48199,4.44546,0.58711,14.52284,0,5,6,5,5,7,33,0.040973531,8,4.56,4,4,5,2,26.17483476,9582.345259,36703.90138,222800.4677,100.2592296,608.5947927,97.45736
19,56.71,47.963996,1.92785,3.95411,62.89031,7.75788,1.01774,17.64175,0,5,3,3,2,10,10.5,0.211602892,6,3.82,0,0,6,3,24.46593772,1387.463328,6757.212554,47345.69994,119.1538098,834.8739188,93.26179
20,551.56,424.520237,1.08359,2.41774,71.53074,5.26728,0.98483,16.08052,5,6,7,2,3,10,25,0.070708536,8,4.45,3,3.5,4,2,24.07583244,13279.26614,58758.27441,354567.2026,106.5310654,642.8443009,96.28111
21,70.85,66.871594,0.00075,0.43058,73.5292,3.88143,0.67584,19.84659,1,6,10,3,10,0,19,0,6,1.91,2,3,2,2,9.907499783,701.9463596,4573.019658,33212.91818,64.54509045,468.7779559,98.36364
22,243.1,155.58,1.2553,2.40839,86.2977,5.20942,0.77035,2.63932,1,5,4,7,3,5,26.5,0.045248869,8,5.22,3,3,5,2,21.32325973,5183.68444,25417.17018,146955.2177,104.5543816,604.5052148,97.32518
23,215.05,127.831974,2.80784,5.21806,73.14581,8.73152,1.76587,5.57166,4,5,1,8,2,5,8.5,0.051150895,8,5.95,0,0,1,0,22.25048057,4784.965846,23889.0236,140301.9069,111.0859038,652.4152844,94.43292
24,166.63,82.53,0.14544,1.87286,73.90509,9.20147,1.84042,6.18731,0,6,3,8,4,4,15,0.024005281,7,4.85,0,1,1,2,22.55418021,3758.203049,18049.1632,98533.53423,108.3188093,591.3312982,93.00715
25,104.61,20.58,0.00118,1.64975,75.97563,9.11635,1.17265,4.22511,0,2,1,10,2,2,30,0.019118631,6,2.71,4,4,5,2,19.91982225,2083.812606,11154.44373,63850.69981,106.6288474,610.3689878,92.13949
26,81,0.02968,0,4.49118,94.74647,0.76234,0,0,0,5,1,3,1,2,12.5,0.024691358,6,28.57,1,0,1,0,13.35978063,1082.142231,8555.488801,49387.47692,105.6233185,609.7219372,99.99999
27,54.16,54.160405,0.00877,3.12058,73.93561,9.80208,1.57706,7.83477,0,6,10,1,10,2,17.5,0.018463811,6,4.2,1,2,2,0,18.73047338,1014.442438,6119.812223,34652.91939,112.9950558,639.8249518,96.2701
28,48.08,48.08,0.00941,2.83139,73.62257,9.90713,1.74222,8.79903,0,6,10,1,10,2,15,0.020798669,6,4.43,1,1,1,1,16.23262822,780.4647648,5240.859653,30612.89923,109.0029046,636.7075546,96.90234
29,25.87,25.869551,0.01698,1.64865,69.99981,9.50219,2.45669,14.19742,0,6,10,2,10,10,11,0,5,5.31,0,0.5,1,0,10.31041154,266.7303465,2644.308079,16209.92225,102.215233,626.5915055,97.80476
30,21.41,21.406981,0.02052,1.9147,66.0145,9.5432,2.95407,17.08786,0,6,10,2,10,10,9,0,5,7.16,0,0,1,0,8.196138991,175.4793358,2365.724836,14615.41012,110.4962558,682.6440972,97.51433
31,106.99,52.74,0.67561,1.92068,76.84132,2.60421,0.29912,17.72903,0,4,3,2,3,10,17.5,0.056080007,6,2.47,2,1.5,3,2,11.75443528,1257.607031,8128.217473,60239.18737,75.97174944,563.0356797,99.39436
32,75.75,21.5,1.65109,3.84242,71.24279,2.19038,0.31415,21.75538,0,4,1,4,1,10,18,0.079207921,6,3.19,3,1,6,2,12.0367739,911.7856227,6402.642671,48720.3698,84.52333558,643.1731987,99.34512
33,19.22,19.15,0.00655,2.59139,63.08293,7.61661,4.75834,15.86491,0,4,2,1,10,10,10,0,5,1.74,0,0,2,2,10.17137738,195.4938733,2899.83291,24315.87719,150.8758018,1265.134089,93.91418
34,186.43,186.429172,2.35908,5.88185,38.74139,0.00271,13.40939,39.86785,8,5,10,10,10,10,22,0.053639436,6,6.49,4,2,3,1,10.92918808,2037.528534,21183.95871,225196.3702,113.6295591,1207.940622,97.90319
35,1298.99,278.9,0.59185,1.08555,54.90403,0.51966,2.25532,30.25307,4,6,5,10,4,9,22,0.0746734,8,5.37,3,1.5,5,1,13.82021674,17952.32334,130220.5891,1079250.729,100.2475685,830.8383659,89.01763
36,1002.58,67.770368,0.60876,0.78859,55.14421,0.05209,0.74301,30.98229,9,6,3,10,2,7,22,0.076801851,8,11.71,3,1.5,5,1,15.64730267,15687.67271,110501.1783,884241.6119,110.2168189,881.9661393,87.71019
37,959.71,31.976384,22.25789,26.69269,48.78603,0.97243,7.46346,13.7728,3,5,2,10,1,5,27,0.075022663,8,15.81,3,3,4,1,16.16429057,15513.0313,96855.42797,773720.232,100.9215575,806.2021152,97.68741
38,794.24,10.205797,0.19582,2.91304,49.33625,6.06979,6.15289,33.33477,11,6,1,1,9,10,22.5,0.065471394,8,5.46,2,2,4,1,16.98063923,13486.7029,76505.87977,596217.7719,96.32589616,750.6770899,97.80674
39,690.46,25.773974,0.03666,1.04711,58.65914,3.5712,3.8784,28.11356,8,5,3,2,6,10,18.5,0.066622252,8,2.44,2,2,2,1,20.84675409,14393.84983,69131.64672,455290.8693,100.124043,659.402238,95.26941
40,679.89,15.874528,0.04416,0.90422,69.95013,3.87107,2.59768,19.35104,2,5,2,3,5,10,13.5,0.067658004,8,3.58,1,0.5,2,2,21.15074883,14380.18262,68625.80884,448905.0991,100.9366351,660.2613644,96.67414
41,664.18,0.25625,0.52221,6.24467,70.11683,2.34234,2.87658,13.03701,2,5,1,4,4,10,24.5,0.067752718,8,4.62,3,4,4,2,21.63331258,14368.41355,68247.32161,440929.3688,102.7542558,663.8702893,94.61743
42,101.44,101.44,0.35741,2.73401,39.09536,1.01732,22.51521,34.6776,0,3,10,10,10,10,10.5,0.009858044,6,4.89,0,0,1,1,8.438883083,856.0402999,11659.94818,113019.1778,114.9442841,1114.148046,100.0395
43,269.69,184.93,0.55123,2.66148,55.5168,3.57616,10.57009,24.10828,7,6,10,10,10,10,12,0.063035337,6,2.58,0,0,1,1,10.69041273,2883.097409,24979.6805,197874.0709,92.6236809,733.7093362,96.43281
44,760.75,231.63,0.41841,2.54588,46.52648,1.53733,13.78232,34.65533,5,4,10,10,4,10,26,0.0170884,7,3.06,3,3,4,1,9.2858718,7064.226972,53208.52192,494139.0794,69.94219116,649.5420038,99.04734
45,239.75,155.203727,0.27514,2.15681,58.06012,3.8404,7.4167,24.46949,4,6,10,10,10,10,12.5,0.070907195,6,2.47,0,0,1,1,10.93159479,2620.84985,22885.48725,169676.3304,95.45562984,707.7219204,95.94352
46,454.55,389.988264,0.11168,1.22907,75.12162,3.35576,0.99419,18.46897,10,6,4,10,8,5,16.5,0.024199758,7,1.77,1,0.5,2,1,11.51304323,5233.2538,32324.15002,225620.443,71.11241892,496.3600111,99.16961
47,187.59,181.411876,0.03273,1.41971,77.534,3.86431,1.18184,15.5269,5,6,10,10,10,4,20,0.026653873,6,1.66,2,3,3,1,10.91296041,2047.162244,13056.74141,95903.84665,69.60254495,511.2417861,99.52676
48,101.51,101.235226,0.01294,1.1601,75.85243,3.85391,1.21373,17.27126,0,6,10,10,10,10,22.5,0.009851246,6,1.59,2,2.5,4,1,10.3006584,1045.619834,6118.500053,51536.95523,60.27485029,507.7032335,99.35143
49,47.16,47,0.01332,0.7076,78.38916,4.59304,1.93492,13.86228,0,5,10,10,10,10,15.5,0.021204411,6,1.29,1,1.5,2,2,11.87383319,559.9699732,3030.307835,24015.43967,64.25589133,509.2332415,99.487
50,221.36,163.136149,0.22714,0.98009,71.57824,2.97981,0.43767,22.93559,1,6,4,1,10,10,17.5,0.027105168,7,1.75,1,2,2,1,10.51311646,2327.183459,14340.68475,103138.9531,64.784445,465.9331094,98.9114
51,121.96,46.128932,0.23963,1.88586,65.45993,6.2653,1.2891,20.90396,0,5,3,10,10,10,10,0.065595277,6,0.04,0,0,1,1,11.42179724,1393.002391,12096.98724,78380.2741,99.18815378,642.6719753,95.80415
52,181.98,97.438871,0.10983,1.69313,69.65457,5.76727,2.21405,17.42309,2,7,6,10,10,10,12.5,0.043960875,6,2.09,1,0.5,2,1,12.22657636,2224.992366,18620.80575,123986.8334,102.3233638,681.3212079,96.75211
53,2052.53,691.276153,11.07963,18.37408,43.05057,3.45355,8.46027,23.80727,0,6,10,10,7,4,33.5,0.110595217,8,10.13,4,3.5,5,2,12.20696899,25055.17007,218388.4378,2114528.159,106.3996325,1030.205726,97.14574
54,283.18,150.21,0.8561,4.19174,32.88965,3.18951,8.73988,49.2031,6,6,7,2,10,10,15,0.038844551,6,4.59,1,0.5,2,1,14.03253112,3973.732162,41299.60948,303932.5448,145.842254,1073.283935,98.21388
55,2504.96,1097.1,10.49041,16.76842,39.73478,3.11645,9.93348,27.52724,0,6,10,10,4,8,19,0.108584568,8,9.71,1,0.5,3,1,11.26158368,28209.81665,254768.0838,2628710.232,101.7054499,1049.402079,97.08037
56,2519.63,1112.03,10.34753,16.55685,39.46501,3.07456,10.46465,27.54687,0,6,10,10,4,8,17,0.107952358,8,9.7,2,0.5,3,1,11.22176218,28274.68865,256172.9578,2653057.332,101.6708635,1052.955129,97.10794
57,202.07,30.900318,0.58599,3.43438,30.50949,2.76565,11.84883,49.71097,6,5,2,1,5,10,14.5,0.044539021,6,8.02,1,0.5,3,2,8.524858015,1722.618059,18926.03076,190611.0521,93.66076489,943.2921863,98.26932
58,241.75,7.151207,4.76198,11.09813,32.40064,0.98458,17.76151,26.65493,1,4,1,10,7,10,15.5,0.082730093,6,5.04,1,0.5,3,2,7.285270714,1761.214195,31407.56057,270044.6235,129.9175205,1117.040842,88.89979
59,158.92,0.397702,0.00374,0.1473,26.50629,0,0.14719,73.1992,0,5,1,1,3,10,7,0.044047319,6,0,0,0,1,2,6.573761371,1044.702157,13390.47263,142809.8507,84.25920358,898.6273008,99.99998
60,263.57,28.384991,23.56097,27.14273,17.62591,2.362,9.39111,40.90695,5,5,1,10,1,10,16.5,0.125203931,6,25.92,2,1.5,3,1,7.84733412,2068.321854,33949.03614,290440.5723,128.8046293,1101.948523,97.4287
61,21.44,15.437592,0.70149,3.99694,30.11482,0.54173,8.85468,55.04222,0,4,1,10,10,10,17.5,0.046641791,5,3.71,0,1,6,2,9.299393172,199.3789896,2789.74909,31788.73976,130.1188941,1482.683757,98.55039
62,86.14,83.86,0.58532,3.33109,35.32328,0.89953,28.28766,31.34215,2,5,10,10,10,10,16.5,0.023218017,6,11.43,2,1,3,1,16.45371024,1417.3226,18700.41509,183047.6283,217.0932794,2125.00149,99.18371
63,532.54,232.854693,3.68966,6.97773,24.67211,1.12666,14.04449,51.63621,9,4,5,10,5,10,12.5,0.069478349,7,7.1,1,0,2,1,8.71761186,4642.47702,67043.85909,639158.5311,125.8945039,1200.207555,98.4572
64,1679.2,479.589866,19.04459,21.51747,47.13834,4.50792,3.32748,20.13962,0,7,10,10,5,6,14,0.125059552,8,11.69,1,1,2,1,12.89268987,21649.40483,173732.2914,1506792.208,103.4613455,897.3274223,96.63083
65,226.48,93.44348,0.89967,4.9176,35.40106,3.55747,4.4606,49.93132,12,5,4,5,10,10,20,0.039738608,6,3.69,2,1.5,2,1,12.79075444,2896.850066,32626.57005,242027.3481,144.0593873,1068.647775,98.26805
66,190.67,57.639095,0.28618,3.41658,37.48439,3.96159,3.92765,48.6322,1,5,3,10,10,10,19.5,0.031467981,6,2.94,2,1.5,2,2,13.02727319,2483.91018,26024.08388,187864.1495,136.4875643,985.2842581,97.42241
67,188.82,55.789977,0.29487,3.52455,38.2488,4.07444,3.77572,47.71106,1,5,2,10,10,10,15,0.031776295,6,2.88,1,0.5,2,1,13.01224023,2456.971201,25876.71255,187844.2046,137.0443415,994.8321398,97.33457
68,91.1,26.617214,0.49204,2.64999,55.59915,4.02456,2.3371,32.19819,7,5,2,1,10,10,23,0.043907794,6,3.35,2,1,2,1,12.72062652,1158.849076,11965.61841,83317.2953,131.345976,914.5696521,96.80899
69,82.6,18.12,0.71833,2.08792,51.75366,4.70404,2.10208,35.23062,2,5,2,2,10,10,14,0.04842615,6,4.21,1,0,1,2,12.71426367,1050.198179,10967.88728,72777.40288,132.783139,881.0823593,95.87832
70,71.85,7.42,1.67902,2.82127,54.749,4.39152,2.63108,27.38992,0,5,1,2,10,10,9.5,0.041753653,6,3.72,0,0,1,2,11.74763752,844.0677557,9604.842996,65042.46379,133.6790953,905.2534975,91.98279
71,127.5,23.110896,0.08324,1.97426,49.20897,4.59218,5.88947,34.89827,7,5,2,10,10,10,19,0.031372549,6,2.79,2,2.5,2,1,13.7622452,1754.686263,17778.63426,127187.5479,139.4402687,997.5493951,96.56315
72,56.39,27.78,0.52413,3.87745,30.23445,4.19074,1.85694,57.32579,18,5,3,7,10,10,14,0.035467281,5,1.79,0,0.5,1,2,10.06054018,567.3138608,7476.604688,58363.84445,132.5874213,1035.003448,97.48537
73,183.62,150.776729,0.63001,23.80562,40.08208,2.19592,9.75396,21.65877,4,4,10,10,5,10,9,0.059906328,7,7.48,0,0,1,1,11.46415742,2105.048586,25015.61774,266326.9167,136.2358008,1450.424337,97.49635
74,87.75,68.960837,0.1284,3.07942,52.98929,1.37949,17.62231,22.07158,0,5,10,10,10,10,9,0.022792023,6,8.08,0,0,1,1,10.97424367,962.989882,12920.24469,139658.6104,147.2392558,1591.551116,97.14209
75,81.47,65.611134,0.13069,3.20042,53.39232,1.43563,18.14415,21.14871,0,5,10,10,10,10,8,0.024548914,6,8.36,0,0,1,1,11.63753192,948.1097259,12779.7092,138568.5175,156.8639892,1700.85329,97.32123
76,46.83,46.831246,0.04151,1.72392,46.9027,1.32046,23.62086,25.22679,4,3,10,10,10,10,9,0,6,4.11,0,0,1,2,10.13655322,474.6947873,5015.444785,68687.34672,107.0989704,1466.738132,98.79473
77,14.99,14.994023,0.00451,1.43429,51.5503,1.46464,26.6267,18.08656,0,3,10,10,10,10,10,0,5,2.89,0,0,1,2,10.39282235,155.788407,1837.966606,29135.57758,122.612849,1943.667617,99.16249
78,103.73,103.727585,1.07436,4.05411,24.79659,0.63862,43.32841,25.83432,0,4,10,10,10,10,20.5,0.009640413,6,30.54,3,2,3,1,12.94027912,1342.295153,15410.28251,92744.51653,148.5614818,894.0954066,98.65205
79,11.24,11.236647,0.00002,2.59408,40.31813,0.80601,32.98542,13.52236,0,3,10,10,10,10,8,0,5,2.32,0,0,1,2,10.38020367,116.6734892,1524.530187,17670.63936,135.6343582,1572.120939,90.226
80,54.26,54.261322,0.2107,3.36131,43.67926,1.73549,16.47511,12.05703,1,3,10,10,10,10,15,0,5,4.13,1,2,2,2,7.052580966,382.6730432,5358.240808,107401.744,98.75121282,1979.390786,77.3082
81,47.27,34.296781,0.00125,1.32532,38.37377,1.23835,26.57157,98.86915,0,3,2,10,10,10,14,0,5,15.34,0,1,2,2,10.10792295,477.801518,7392.655579,115877.4857,156.3921214,2451.395932,166.37816
82,181.51,168.155513,0.17366,2.61411,38.23403,1.42839,19.38171,7.18849,4,5,5,10,10,10,12,0,6,7.41,1,0.5,2,1,8.888475588,1613.347204,21106.93038,315499.6946,116.2852205,1738.19456,68.84673
83,203.61,190.564307,0.15342,3.44596,36.81312,1.51442,22.3054,4.67909,7,5,6,10,10,10,16,0,6,8.68,1,1,3,2,9.524613487,1939.306552,24888.69308,326112.1631,122.237086,1601.651015,68.75799
84,41.16,41.160581,0.00254,3.97712,40.02322,2.1856,35.6872,18.05712,9,4,10,10,10,10,16.5,0,6,24.48,2,1.5,3,1,10.61336728,436.8461972,6648.081548,57827.57593,161.5180162,1404.945965,99.93026
85,13.22,13.221418,0.00222,1.96161,39.82867,5.95191,27.89203,23.98095,0,3,10,10,10,10,13,0,5,41.02,2,0,2,1,209.2630329,2766.457295,34385.21703,394141.0596,2600.999775,29813.99846,99.61517
86,96.67,96.667539,0.80476,4.57906,36.61616,1.01939,24.36555,32.16298,0,4,10,10,10,10,8,0.041377884,6,6.56,0,0,1,2,9.653494007,933.2032657,16284.98158,142056.9262,168.4595178,1469.503736,98.74314
87,66.11,66.111761,1.09994,5.57007,38.39919,1.37664,22.47911,30.58623,0,4,10,10,10,10,11,0.030252609,6,7.02,1,0,2,2,8.614076373,569.476589,9061.972997,94546.69186,137.0741642,1430.142064,98.41124
88,20.34,20.336729,0.86344,5.17231,29.89737,3.0458,37.31853,23.80638,0,4,10,10,10,10,13,0.196656834,5,1.16,1,0,1,2,8.8118809,179.2336575,3603.929296,30154.01402,177.1843312,1482.498231,99.24039
89,52.17,52.165667,0.40556,3.31603,32.71025,2.56349,30.86628,29.64653,0,4,10,10,10,1,9,0.095840521,6,2.21,0,0,1,2,9.104168925,474.9644928,9102.669465,105415.0076,174.4809175,2020.605858,99.10258
90,993.67,682.661682,1.64363,5.23226,30.15128,1.18656,24.60738,37.36623,0,5,10,10,10,4,24.5,0.053337627,8,7.01,2,2,4,1,9.332018258,9272.946582,129776.7031,1398136.491,130.6034228,1407.043073,98.54371
91,26.03,1.75,0.00183,1.305,55.45282,5.16232,6.03613,25.52289,0,5,1,2,10,10,13.5,0,6,2.76,4,0,1,2,7.110920784,185.097268,3370.08017,25346.7049,129.4690807,973.7497081,93.47916
92,76.59,8.76,10.64036,12.1937,83.79597,0.53359,0.00001,0.80547,0,4,1,1,1,10,20,0.378639509,6,3.47,2,2,3,2,74.73484951,5723.942124,18181.48756,101637.2717,237.387225,1327.030574,97.32874
93,12.79,4.54,62.10824,64.83972,31.17058,0.34129,0.00349,3.61999,0,4,1,1,10,10,19,0.156372166,5,60.72,2,1,3,2,34.97456193,447.3246471,1482.68611,13851.20013,115.9254191,1082.971081,99.97507
94,791.92,18.9,36.37883,38.58147,43.32707,5.29624,0.02597,9.39611,0,6,1,10,5,10,25.5,0.07955349,8,17.22,3,1.5,5,3,5.944473915,4707.547783,23539.51797,492954.8406,29.72461609,622.4806048,96.62686
95,119.25,119.25,0.01784,1.38812,76.69003,4.02848,1.12531,16.20611,3,6,10,10,10,10,17,0.016771488,6,0.02,3,2,3,1,10.39760255,1239.914104,7716.947034,62688.78606,64.7123441,525.6921263,99.43805
96,170.85,9.95,0.16601,2.72566,29.38881,2.50154,11.11473,53.80172,0,5,1,2,4,10,15.5,0.040971613,6,2.61,1,1.5,2,1,7.076213907,1208.971146,14956.68626,156892.2466,87.54279343,918.3040481,99.53246
97,149.48,8.127698,39.86584,41.58596,45.22203,1.61773,0.00002,5.68112,2,5,1,5,4,10,21.5,0.060208724,6,17.58,3,3,3,2,46.22958413,6910.398236,17437.54112,115098.9928,116.654677,769.9959381,94.10686
98,29.75,28.63,0.00349,4.75402,74.43538,11.94521,0.76012,4.79274,0,6,10,2,10,10,14,0.033613445,6,4.47,1,2,3,2,22.7293945,676.1994864,3426.330333,22234.45075,115.1707675,747.3764959,96.68747
99,113.46,33.767771,8.90583,10.90809,63.83672,4.061,0.21275,19.41491,6,6,3,10,10,10,23,0.105764146,6,5.091770278,1,1.5,4,2,13.50013182,1531.724956,9173.788555,83199.05642,80.85482597,733.2897622,98.43347
100,83.5,44.68,10.04081,12.42461,58.72667,5.07384,1.09349,19.32602,0,5,3,10,3,10,10,0.155688623,6,6.895056375,0,0,1,2,20.50724092,1712.354617,13915.33387,110253.5157,166.650705,1320.401386,96.64463
101,165.57,159.29,0.03624,1.38528,76.98938,3.73568,1.12427,16.26824,1,6,10,10,10,3,17,0.018119224,6,1.613186042,1,1,3,1,10.67886739,1768.100073,11299.71355,86706.23055,68.24734884,523.6832189,99.50285
102,79.9,79.8266,0.67844,4.5092,33.43673,0.00629,11.89139,48.38054,0,1,10,10,10,10,14,0.075093867,5,7.395038168,0,0.5,6,2,9.360986507,747.9428219,10092.852,100303.7404,126.3185482,1255.365962,98.22415
103,54.38,54.38,0.50707,3.73311,73.77802,13.18942,3.38826,0.46268,0,6,10,1,10,10,31.5,0.018389114,6,4.725085911,4,4,4,2,45.18784623,2457.315078,8167.446342,51443.92253,150.192099,946.0081378,94.55149
104,170.27,170.27,0.67464,25.42018,39.26236,2.02261,9.59469,21.05609,1,5,10,10,4,10,10.5,0.058730252,7,9.031219029,0,0,1,1,11.69218656,1990.828605,24226.75301,242379.4032,142.2843308,1423.500342,97.35593
105,79.68,79.68,0.63425,3.38671,35.3293,0.95593,28.25835,31.20847,0,5,10,10,10,10,16,0.025100402,6,12.87923855,2,1,3,1,16.48864228,1313.815017,17200.8773,171015.5133,215.8744641,2146.279032,99.13876
106,50.19,2.98,0.03514,0.47671,54.91845,18.56101,8.31594,11.8042,0,4,1,4,10,10,13.5,0,6,2.415458937,1,1,1,1,11.10673736,557.4471481,6501.444728,51363.0629,129.5366553,1023.372443,94.07631
107,37.3,16.31,17.81097,20.19941,57.87293,2.6514,0.38974,15.25055,0,5,1,10,1,10,15,0.241286863,6,10.3861518,1,0,2,3,21.78139193,812.445919,8092.916949,72223.33388,216.9682828,1936.28241,96.36403
108,59.16,36.4,2.00944,5.81298,26.13582,0.97835,46.39747,19.83691,4,4,2,10,10,10,14,0.016903313,7,43.52495262,1,1,2,1,13.09642909,774.7847452,10957.86528,122524.3604,185.2242272,2071.067619,99.16153
109,62.43,39.67,1.85186,6.02896,26.7424,1.01691,46.39747,19.83691,5,4,3,10,10,10,12.5,0.01601794,7,40.0462963,1,0.5,2,1,13.44258067,839.2203112,11878.42502,126735.7009,190.2679003,2030.044864,100.02265
110,2503.02,1095.41,10.50743,16.7907,39.70312,3.11854,9.94954,27.56227,0,6,10,10,3,7,14,0.108668728,8,11.40392829,1,0,3,1,11.43510315,28622.29189,258383.1498,2614455.25,103.2285598,1044.520319,97.12417
111,53.91,6.7,0.18427,1.98872,32.04154,10.26918,6.27414,46.49043,0,4,2,3,10,10,17,0.018549434,6,2.102803738,2,1,3,2,11.20907072,604.2810025,6939.914009,55037.40348,128.7314786,1020.912697,97.06401
112,33.29,12.61,18.73616,20.66433,58.26113,2.04216,0.11569,14.93218,0,5,1,10,1,10,13,0.270351457,6,10.9352518,1,0,2,2,22.5507855,750.7156494,7581.602143,68899.67163,227.7441317,2069.680734,96.01549
113,11.62,1.97,0.00112,0.01057,95.21737,0,0,4.77207,0,5,1,1,10,10,27,0.860585198,4,0,4,4,4,3,19.75774988,229.5850536,1011.493829,16066.48027,87.04766172,1382.657511,100.00001
114,266.01,133.04,0.80762,4.31872,34.1043,3.35522,6.61927,49.60066,3,5,5,3,10,10,17,0.041351829,6,4.75233047,2,0.5,2,1,14.06411648,3741.195626,39832.13385,283817.9775,149.7392348,1066.944767,97.99817
115,2473.68,1079.87,10.62785,16.96946,39.78483,3.15336,9.86887,27.36094,0,6,10,10,2,6,17.5,0.108744866,8,9.814181257,1,1,3,2,11.69110903,28920.06258,261259.6197,2620531.398,105.6157707,1059.36556,97.13746
116,51.18,19.26,0.05689,2.43193,56.10043,8.12137,5.44611,19.0028,0,5,2,1,10,10,12,0,6,2.056277056,0,0,1,2,10.50273968,537.530217,6681.826726,45878.55589,130.5554265,896.415707,91.10264
